sentence1_kin,sentence2_kin,human_score
Dufite inshingano yo kurinda ubuzima bw'umwana utaravuka. - Ronald Reagan #ccot #gop,@hillaryclinton - Ibyo bivuze ko wishimira ko mbera intwari kuko nta mwana wanjye na rimwe nabonye ntwaye inda? #ubwiyorobetsi,0.62
Yasize ubutumwa bwo gusaba imbabazi.,"Ujye ibumoso, ujye munsi y'imirenge, kandi ugire amahirwe.",0.07
"Mu by'ukuri, sinari nzi neza icyo gihugu nk'uko nawe wabitekerezaga.","Niba ari ukuri, sinzi icyo gihugu neza nk'uko nabibabwiye.",0.69
"Mu buryo butunguranye, ijwi ryayo ryahindutse, mbese nk'aho yari yarakuze cyane.","Mu buryo butunguranye, yari afite uburyo butandukanye bwo kumva, nk'aho yari yarakuze.",0.66
"Umugabo uri hejuru y'inzu yambaye imyenda y'ibikoresho by'ubwubatsi, arimo arakora imirimo yo gusana.",Hari amadirishya manini n'amadirishya mato agize igice kinini cy'inyubako.,0.31
"Ni byiza kuri Hillary, kuki se atari Meya wa #Baltimore. #DemocratLiesMatter","Kugeza ubu, amashusho 96 y'amafaranga y'ishimwe ya Hillary yabonetse muri Greenville, SC! #FellowsSC",0.2
Umugabo yitegereza yitonze uko imbwa ye y'umukara isimbukira mu mazi.,Abagenzi babiri b'abanyamaguru basimbuka ku mabarabara y'ibitaka imbere y'amazi.,0.28
Inkuru nziza cyane ivuga ibya Jeff na Fallon!,"Niba ukunda Fallon na Jeff, ugomba gusoma iyi nkuru.",0.84
Kuvuga ko ari hasi byari kuba bishimishije ko umugore aba perezida.,@Xxoax @HillaryClinton @MaryMorientes @BarackObama Isi yose iri kugufasha.,0.56
Hashize isaha irenga kandi nta jambo na rimwe rya Travis ryageragaho.,Nigeze kubaza abantu ibyerekeye Goldie.,0.22
Twamaze kuvuga ibyo twari dukeneye kuvuga byose.,Twamaze kuvuga ibyo twagombaga kuvuga byose.,0.78
"Ku bw'ibyo, nk'umunya-Latino, (ni ukuvuga ko ari umunya-Peru), reka mbabwire ikintu cy'ingenzi:","@MarioLopezExtra @nbc yirukana Trump, ariko akomeza kugirana imishyikirano ikomeye na @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO",0.38
Nabonye gato mu ijambo rya Hillary Clinton kandi nishimira kumva gahunda ze zo kunoza politiki mu butabera bwacu.,"@hughhewitt nk'uko nakwandikiye kera, porogaramu ya #ACA ishobora gukosorwa, ariko ikosa ry'ingamba za GOP zo 'kuvanaho' ntirishobora gukosorwa",0.12
Yari afite amazi mu mutwe.,"Buri gihe mu bwenge bwanjye"" ya PSApp",0.1
Abagore babiri bakuze bakora akazi kabo bashyizeho umwete.,Hari abakobwa babiri b'abageze mu za bukuru bari mu birori.,0.62
@thehill @evanperez uransetsa...reka yibanze ku bibazo...,"Uri umusazi uramutse ugiye gutora Hillary, we na Obama ni bo batanga urugero rw'ibidakwiriye muri iki gihugu #Benghazi",0.36
"Mu gihe Korum ari we utegeka, Mia azi uko amurwanya kugira ngo amenye icyo ashaka.","Icyakora, hari igihe imishyikirano Korum na Mia bafitanye iba iy'abagabo.",0.66
Utekereza ko ushobora kuvuga ikintu cyose nta ngaruka?,Ese hari umuntu waciye imishyikirano n'umukuru w'igihugu Lindsey Graham ubwo yitaga Abanyakiranda ababeshyi?,0.25
@LaureneDiCillo @NBCNews @dl34l Kandi kuki itangazamakuru rikomeye ritagaragaza ko Hillary yananutse muri iki kibazo.,@frodofied SO? THT ntizigera na rimwe ihindura inkunga bahawe na DOMA no guceceka ku burenganzira bwa #LGBT #LGBTQ kugeza igihe bizaba bifitiye inyungu za politiki.,0.41
"Thalia yari intwari ikomeye kandi ifite ubushobozi, kandi yakomeje kuba umuntu w'inyangamugayo.",Hari ibintu byinshi bibabaje byabaye hagati ya Gabriel na Thalia.,0.38
"Igisenge cy'ibitoro cyatwaraga amadolari 2,52 n'ibice icumi bya litiro.",Izina ry'inzu y'ibitoro n'isaha y'igitoro ku giciro cya $ 2.52.,0.93
Mwebwe abagabo muri hano mushobora kwifuza gusuzuma ibibazo byanyu n'ibisubizo byanyu!,Jya ubaza abandi ibibazo kuko nta bisubizo mfite.,0.53
"Ni umurezi w'umunyabwenge ukomeye, si byo se?","Ni imbaraga z'ubupfumu n'ubushishozi, si byo se?",0.66
"Mu buryo butunguranye, imbere yanjye habumburwa ubutayu bunaniza.",Aha ni ho habonekera icyuho gitera umutwe.,0.66
Ni ibintu bishimishije kandi bivuguruzanya mu buryo Terry Pratchett wenyine ashobora kubikora.,"Ni umunyabwenge kandi ni mwiza, nk'uko Terry Pratchett wenyine ari we ushobora kuba ari we.",0.91
Amafi y' intoki ni amoko ane y' amafi y' intoki y' intoki .,"Amafi y' intoki asa n' amafi y' intoki , ariko ni mato .",0.69
"Weizmann na we yari umuhanga mu by' ibikomoka ku buhinga bwa ABE , butuma habaho acétone binyuze mu guteka kwa bakteria .","Nanone Weizmann yari umuhanga mu by' ibyokurya , kandi yageze ku buryo bushya bwo gukora acétone akoresheje uturemangingo .",0.78
"Nanone kandi, amafaranga 400.000 #Hillary yaguye kuri Goldman Sachs ku ""mibonano"" ibiri. @Joan_Vennochi","@fuzislippers @KLSouth @gdebenedetti Yee, ni umunyabwenge koko! Lol #MakeAmericaGreatAgain #WhyImNotVotingForHillary",0.47
Ibyiza ni Aries na Torrent.,gerageza urubuga rwa torrent nka isohunt.com,0.41
Ibyo ni byo biceri byanjye bibiri uko byagenda kose.,Ibyo ni ibiceri byanjye bibiri gusa!,0.84
"Indirimbo zanjye nkunda ni ""Paper Heart"", ""Dirty Little Secret"" na ""Move Along"".",Izo ni zimwe mu ndirimbo nkunda cyane.,0.69
Umukobwa wambaye umwenda w'ubururu agendera mu iduka ryuzuye ibintu bya Pokemon.,"Hari umwana muto, ukina n'ikarita za Pokemon.",0.5
"Iyo ndirimbo yamaze isaha irenga , yari imurika rirerire cyane .","Ni umurimo muremure cyane , ugenda urushaho kumara isaha .",0.59
Ufite amavuta gusa ariko nta lampi ufite,"Ufite amavuta, ariko nta mugozi ufite.",0.75
Abana babiri barimo basuka mu mazi.,Imbwa ebyiri zirakina hamwe ku buriri.,0.28
"Ubusanzwe , Minisiteri zigengwa na Kabineti , na Minisitiri w' Intebe , Perezida cyangwa Kanselari .","Shaukat Aziz , yabaye Minisitiri w'Intebe wa Pakistani kuva mu 2004 kugeza mu 2007 .",0.44
Igisubizo ni uko ukunda kuba uri kumwe n'uwo muntu.,IGISUBIZO: Ni ukubera ko iyo umuntu ari kumwe nawe wumva umerewe neza.,0.91
"Muri rusange, ni igitabo gishimishije kandi cyihuta.","Muri rusange, igitabo cyitwa The Graveyard Book cyatumye nkunda Neil Gaiman.",0.53
Buri gihe narariraga nk'umwana!,Uwo mwana ni umwana w'umugabo we.,0.09
Hariho indaya zitinya kwica ikimonyo gito mu nzu yazo ariko zikimara kwica umwana...,"Mbega iminsi 7 myiza yo kuba Umunyamerika, cyane cyane Umuteksani. #SCOTUS #LoveWins #Obamacare",0.03
Impamvu zose zituma habaho umwanzuro wo guhindura cyangwa guhagarika uruhushya zigomba gushyirwa ahagaragara.,Icyemezo cyo guhagarika cyangwa guhindura uruhushya kigaragaza impamvu.,0.75
"Ikiganiro cyitwa ""Isezerano"" kizahora ari cyo nkunda cyane.",Nkunda iyi nkuru kandi nzayisuzuma nkimara kubona ibitekerezo byanjye.,0.62
"Umugabo wambaye imyenda mito, akagenda ku mashusho y'ibikoresho byo kwiruka.",Umusore umwe ajya ku igare ry'amabara y'umutuku.,0.66
"Nta kintu na kimwe kiri hejuru yacu mu birometero byinshi, cyangwa uko ubivuga kose!","ibirometero, cyangwa uko byitwa kose, ntibiruta twe!",0.67
Ese ntabwo ari leta imwe yahaye amategeko ubwicanyi?,"Bernadette Smyth ni umunyabwenge, nta buzima bwe, nta mubiri we, nta n'akazi ke.",0.25
GParted na KDE Partition Manager ni porogaramu z' imiterere ikoresha ibitabo byatandukanye .,Gparted ni porogaramu ikoresha ububiko bw' ibitabo bwahindutse .,0.62
Abacuruzi ba telefoni bahamagara imibare iri ku rutonde nyuma y'itariki ya 1 Ukwakira bashobora guhangana n'ibihano by'amadolari agera ku bihumbi 11 ku murongo.,Amategeko avuga ko abacuruzi bahamagara abantu ku nimero ziri ku rutonde bashobora guhanwa amadolari y'amanyamerika agera ku 11.000 ku gihe baba bakoze amakosa.,0.87
Umugabo wari unaniwe kuryama ku ntebe.,Ibitwa by'umuntu biguma mu mazuru.,0.19
Imbwa y'ibara ry'umuhondo n'umukara iri iruhande rw'umupira w'amabara.,Imbwa y'ibara ry'umuhondo n'umukara yiruka ajya gushaka umupira utukura.,0.66
"Imikino ibiri, imikino itatu y'intwari zose, imikino irindwi ikurikirana.","Imikino ibiri, imikino itatu y'Inyenyeri zose, 7 ikurikirana.",0.84
Lizzie ni we musenyeri mushya wa Lychford.,"Mujye mubona Lizzie, umukozi mushya w'itorero, ukiri mu kababaro kubera urukundo rwabuze, na Autumn, wahoze ari incuti ya Lizzie, wari umuhanga mu bya filozofiya, wahindutse umuhanga mu bya filozofiya.",0.59
"Ikirangamisi cya Gregoriyani hamwe n'uburyo bwo kubara imyaka , ni bwo buryo bwo kubara ikirangamisi bwakoreshejwe cyane ku isi muri iki gihe .","Ikirangamisi cya Gregoriyani cyerekana umwaka Yesu yavutseho , gihuje n'ibyavuzwe mu kinyejana cya 6 .",0.56
"Ndahamya ko wifuza kureba icyo mvuga, si byo se?",Kuba mfite ubunyamwuga byatumye nkunda ibyo bimpitana.,0.12
Umugore ufite isura y'ubwoba yitegura kugenda mu modoka igenda igana ku mpinga z'imisozi miremire.,"Abantu babiri barimo barira muri kayak mu ruzi rurangwamo amahoro, bakikijwe n'ibiti binini kandi bihunze.",0.19
Nkunda umuntu untera guseka cyane.,Buri gihe iyo mbireba birantera guseka.,0.31
"Nkunda De Niro, Pacino, Stanley Tucci!",Uvuga Robert De Niro muri Scarface?,0.44
Amakuru ya nyuma nari mfite yagaragaje ko kaseti ndende cyane yari ifite iminota 110.,"Nin, stand, nickleback byose byaje mu minota mike ishize.",0.16
Nzasoma ibindi bintu byo mu gitabo cya Harper Connelly.,"Ariko kandi, nzemera ko narushijeho gutengushyirwa n'ukuntu Harper na Tolliver bakiriye icyo gitabo.",0.47
"Frankie Avalon ni umukinnyi wa filime w' Umunyamerika , umuririmbyi , n ' umunyacyamamare wahoze ari umwangavu .",Emily Jordan Osment ni umukinnyi w' imideli w' ingimbi n' umwanditsi w' indirimbo w' umwangavu wo muri Amerika .,0.44
Iyo migani mishya igaragaza ko imibare yose y' imigani ya Urani ari 13 .,Kuva mu mwaka wa 2010 abantu bari bazi ko urunani rufite impeta 13 .,0.84
Sam na Jared bagiye gushyingiranwa n'abanzi b'amaraso.,Nta kintu na kimwe cyaba gihagije kuri Jared na Sam!,0.56
"Kugira ngo ndangize iki gitabo, byantwaye igihe kirekire cyane!!!",Ndagira ngo mvuge ko Haven yampaye imbaraga zo gusasa muri iki gitabo.,0.38
Uwo muco uzwi cyane kubera ko utera urwikekwe n' Abanyakiripi .,"Ni abanzi b' Aba Crips , abandi bantu bo mu muhanda .",0.88
Ni ironi ko abantu bakora imiti irokora ubuzima ku nyamaswa kugira ngo zikomeze kubaho ariko bakaba bafite ibitekerezo by'ukuri ku byerekeye,"@NYCanegirl gufata umuntu ku bushake ni ubwicanyi bw'icyiciro cya mbere, kandi urabizi.",0.47
Nta kintu kibi umugore yakora ngo aganire n'umugabo.,Kuva ryari umugore yavuga nabi cyane ku mugabo?,0.81
"Icyo gihe, abantu bari bacecetse ku gasozi nk'aho ari ikintu kigaragara.",Birumvikana ko aha hantu hari hatuje cyane.,0.44
Freak ajyanwa mu bitaro .,Iyo nzu yavuyeho .,0.22
@realDonaldTrump Birashoboka ko ari kubera ko @jorgeramosnews yagombaga guhindura iyo nyandiko nyuma yo gushyiraho iya kera kuri Instagram #TrumptheChump,@realDonaldTrump Nshyize umukono ku masezerano yo gutora uyu munsi kugira ngo nshobore gufasha #MakeAmericaGreatAgain #Honesty,0.31
"Hari itsinda ry'abantu bari bateraniye hamwe kugira ngo barye, bambaye imyenda y'akazi.",Umugabo wari ufite agahembe k'igare arimo afata itike y'ipiganwa mu mashini.,0.25
Uwo muntu wari uyicayeho yari Umwami w'umugezi wa Nozdrub.,Imana yagombye kwita ku bapfuye.,0.25
"Niba ukunda intangiriro y'igare ry'igihe, uzakunda iki.","Mu by'ukuri, The Unremembered itwibutsa cyane The Wheel of Time, cyane cyane The Eye of the World.",0.44
Mike Jagger Keith Richards ibyo ni byo byose nzi,"Intwari zanjye ni Jim Morrison, David Le Roth na Mick Jagger.",0.53
Imeri nyinshi za PT zagiye zimenyekana cyane mu gihe cy' intambara .,Ubwato bwa PT bwari ubwato bw' amavubi .,0.61
"Niba ubonye mbere y'uko ngaruka, mbabarira unyibutse gutegereza.",Niba ugomba kunsabira mbere y'uko ngaruka... umbabarire ntegereze.,1.0
Imbwa y'umukara yambaye umufuka wa orange yafatanywe umuringa wo kuroba.,"Imbwa y'umukara yambaye umufuka utukura, isuka amazi.",0.62
Ntekereza ko uyu munsi uzatuma Agha sahib yishima cyane.,"uyu munsi, uzaba uri umunyabwenge w'umunyabyaha, uzagira ishema n'ibyishimo.",0.69
Hari isoko ry'Abanyaziya rihuze n'amatara y'ibitabo n'abaguzi.,Hari umugore w'umusaza wo muri Aziya witegereza inyuma y'umuryango w'ubururu.,0.38
"A28/E30 ikurikira mu burasirazuba, mu majyaruguru ashyira uburasirazuba kugeza A1/E30.","A28 / E30 mu burasirazuba, mu majyaruguru ashyira uburasirazuba mu majyaruguru yerekeza ku A1 / E30.",0.72
"Mu mwaka wa 1992 , Coppola yongeye gusohora filimi eshatu za Godfather mu buryo buhuje n' ibihe , yitwa The Godfather Trilogy 1901-1980 .","Filime ya gatatu yo mu gitabo cya gatatu cya Godfather , The Godfather Part III , yasohotse mu mwaka wa 1990 .",0.72
Amashura abiri y'imideli yitegereza kure.,Umwana w'imfura w'imfura y'umushishe ashaka icyayi cy'ibishyimbo.,0.31
"Ese wari kumushuka ngo amenye byinshi, cyangwa se wari kumushuka?","Niba ushaka ibindi bisobanuro, reba urubuga rwacu!",0.25
Ntekereza ko ari inshuro zigera kuri 10 cyangwa 15 mu cyumweru.,"Iyo umuntu agiye kwiga no gukora, aba afite nibura rimwe mu cyumweru, ariko nibura gatatu mu cyumweru.",0.44
"Mu rugero, navuga ko ari rimwe cyangwa kabiri mu cyumweru, rimwe na rimwe rimwe navuga ko ari kenshi kurushaho.","Rimwe na rimwe, amara icyumweru cyose atabikora.",0.34
"Ubusanzwe , ibikomoka ku mafi y' inka ni byo bibonerwa mu bikomoka ku mafi y' inka .",Yogurt cyangwa yogurt ni ikinyabiziga cyakozwe binyuze mu guteka amata n'udukoko .,0.66
Uyu ni we wankozeho.,Kuki uwo mukobwa yahishe izina rye?,0.22
"Andre Luis Neitzke , cyangwa Andre , ni umukinnyi wo hagati w' ikipe ya Brazil .",Ivan Mariz yari umukinnyi wa football wo muri Brezili wari umukinnyi wo hagati .,0.47
"Ni ukubera uburyo uwo mugabo avuga ""S"". Ibyo bituma numva ntishimye.",Ni ukubera uko uwo mugabo avuga amagambo ye...,0.84
Hanyuma Edge yahishuye ko Chavo Guerrero yari kuba ari mu ruhande rwe .,Hanyuma Edge yavuze ko yari kujya ahamagara Chavo Guerrero ngo ave muri ako gace .,0.81
@SLessard 100% turabyemeranya. Dukeneye umugore nka Hillary ushobora gufasha iki gihugu kongera gukira!,@lbush34 @HillaryClinton urimo urwanirira umukobwa wanjye Hillary!,0.53
umugore uri ku meza y'amafunguro arimo kwandika mu gitabo cye.,Umugore wari ku meza yari ahuze n'ikintu runaka.,0.67
Ibyo bisobanura ko ikeneye kwitabwaho.,Ese urumva icyo nshaka kuvuga?,0.44
Abagabo bazishimira ko wambara neza.,bambara umwambaro w'impanga w'ibinyampeke abafana barawukunda cyane mbwira ibyabaye vol_fan_raybaby@yahoo.com,0.41
"Yee, keretse niba hari ikibazo cya ngombwa mu biro.",niba nta kibazo gihari.,0.5
"Bakina imikino yabo yo mu rugo ku kibuga cya Portman Road , Ipswich .",Ikibuga cy' iyi kipe ni Portman Road .,0.81
Gura itangazo mu kinyamakuru ry'umucuranzi wa bass.,Gura iyo DVD kuri Best Buy.,0.19
"Rimwe na rimwe , yandikaga ko Afurika y'Amajyaruguru ari yo "" Eurasia "" .","Rimwe na rimwe , Eurasia yigabanyijemo Eurasia y' Iburengerazuba n' Eurasia y' Iburasirazuba .",0.62
"Ibyo ni byo byonyine biranga umurongo w' imashini , utabariyemo impande zigariyemo .",Iyi shusho irema umurongo w' umurongo w' umurongo kuri Commons mu buryo bw' urutonde .,0.22
Kubera ko ibintu byinshi biba mu nkuru za Asanderi byagaragaraga ko ari ubupfapfa.,"Icyakora, sinari narigeze numva ko ari nk'aho ari nk'aho ari nk'aho ari nk'aho ari nk'aho ari nk'aho ari nk'aho ari nk'aho ari nk'aho ari nk'aho ari nk'uko byari bimeze kuri Cinderella.",0.47
Mubwire ibyo mwifuza ko mwembi muzabaho mu gihe kizaza.,Mubwire ibyo mwifuza ko muzahora mukora.,0.84
Jya ubigerageza mu nkoranyamagambo.,Ni inkoranyamagambo.,0.59
Opiyo ni Latex yumye yavuye mu mavi ya opiyo .,Opiyo ni umuti uvura ibiyobyabwenge wakomokaga ku bihingwa bya opium .,0.88
@WhiteHouse @POTUS Abana bose uretse miliyoni z'abagiye gukuramo inda #everylifematters,"@mrprolife Ibibazo by'uburwayi bibaho mu buryo bwose bwo kwivuza, ariko ntibivuze ko iyo nzira ubwayo igomba gucibwa. #DealWithIt",0.37
"Josh Lyman , umuyobozi wa Santos , yemeza Leo McGarry ko ari we ugiye kwiyamamaza .",Santos yari ateganya kuva mu Nteko y' Abadepite mbere y' ko Josh Lyman amugira umukandida wo kwiyamamaza .,0.72
"Gray yaba yaragiye asuzuma bamwe mu bagenzuzi be, si byo se?","Gray yari afite imfashanyo ebyiri, si byo se?",0.81
Abantu bakuru b' aba Mikrodoni basa n' abahinzi .,Abantu bakuru b' aba Mikrodoni bafite ubwoya bwinshi cyane kandi basa n' inzuki .,0.59
"Urutonde rw'ibicuruzwa,Ibiro by'ibicuruzwa,Ibiro by'ibanze by'ibicuruzwa,Ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro by'ibiro","Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi, Ubucuruzi",0.72
Gerageza kumushyira mu nzoga mbere y'uko ufata umwanzuro.,Mujye mumuheka maze murebe uko asa.,0.75
Abategetsi baha agaciro kenshi amagambo yo muri Bibiliya kurusha abagore n'imibiri yabo,"Bernadette Smyth ni umunyabwenge, nta buzima bwe, nta mubiri we, nta n'akazi ke.",0.44
"Igitabo cyitwa The Accidental Vampire, Elvi na Victor",Elvie Black yahindutse Vampire mu buryo butunguranye igihe yari mu biruhuko muri Megizike ari kumwe n'incuti ye magara.,0.53
"Umukobwa wanjye, arafunze, ndabinginze umuntu arokore umukobwa wanjye",Hari umuntu uzakiza umukobwa wanjye.,0.5
"Iyo nshubije amaso inyuma kuri Maven, sinzi uko namucira urubanza nyuma y'uko amutekerereje ibintu byinshi.",Inzu y'Umwami itangira aho Inkota y'Icyuma yaretse: amasezerano ya Mare na Maven.,0.38
"Birashoboka ko nkunda umugore ukomeye cyane, ariko sinzi ko nzasoma izindi ebyiri ziri muri iyi nkuru.",Ni nk'aho umwanditsi w'icyo gitabo yari afite ikibazo cyo kuryamana n'umuntu.,0.19
Amaguru ye ashobora kugwa.,Yari afite imikoba myinshi yari ifite amaguru n'amaguru.,0.34
2010 ni Umwaka Mpuzamahanga w'Ibiremwa by'Ibiremwa .,Yamusimbuye Julia mu mwaka wa 2010 .,0.28
"Igihe umugore we yapfaga, yifuzaga gupfa maze asanga Lestat.",Icyumba cyari gihishe we na Lestat.,0.44
Lindsey yavuye mu matora kubera ko yari yaramaze gutorwa incuro enye .,"Nubwo nta majwi yabonye mu mukino wose , yatoranyijwe kubera ko yari abitewe n' akaga .",0.4
Ese... ni ryari umukunzi w'umukinnyi azasohoka?,"Marie Rutkoski yongeye gusohoka muri pariki afite ""Icyaha cy'Umunyabahesha Imigisha"".",0.25
"Abirengagiza amateka, bazabigarukaho.","Abapfobya amateka, bazabigarukaho.",0.84
Ntitwari twarigeze tumenyana mbere yaho.,Nta bwo twabonanye mbere y'uko tuganira.,0.78
Jye n'incuti zanjye twakundaga gukora imyitozo ngororangingo.,Jye n'incuti zanjye twakundaga kujya mu nzu kugira ngo dukore imyitozo ngororamubiri.,0.94
@OnlineForLife murakoze cyane ku buryo mutangaza ubutumwa bwiza bw'ubuzima.,"Ndaharanira ko abana banjye bahabwa uburenganzira bwo gukora imibonano mpuzabitsina, ariko sinshaka ko babaho nk'uko nababwiraga.",0.47
"Imibereho y'abantu: Nabonye ko ""Imbonerakure zo muri Manhattan"" ziryohera cyane nubwo ntazi byinshi ku birebana n'iyo nkuru.",Ushobora gutangira ku gitabo cyitwa Vampires of Manhattan ukagikurikirana neza.,0.47
Raporo za IPCC ni igitabo cy' ubushakashatsi bwakozwe n' abahanga mu bya siyansi .,"Inama y' abagenzuzi ni yo ishinzwe gukora inama y' abagenzuzi y' umuryango wa IPCC , kandi iyo Komite yemeje Raporo zayo , iba yemerera kureba neza ko zihura n' amahame ya IPCC .",0.72
Nabonye iyo filimi incuro nyinshi.,Nabonye incuro ebyiri.,0.5
"Kubera ko Arin ashyigikira incuti ze z'abapfuye mu ntambara yo kubungabunga umudendezo w'igihugu cye, ntashobora guhangana n'igitekerezo cy'uko Kestrel azi byinshi kurusha uko abivuga.","Inkuru yose yari ivuga gusa ko Arin na Kestrel bari bashishikajwe n'abandi, kandi ko ingorane bahuraga na zo zatumye batandukana.",0.53
Nkunda ukuntu yamenye ko umugore we yari amuteye agahinda.,"Torpedo Ink ni itsinda ry'abavandimwe ba Viktor, ari bo bonyine barokotse ishuri ryo kumutoza ryoherejwemo akiri umwana.",0.0
"Kandi se, waba ukunda uko amarembo y'Abafaransa yuguruka agana ku kibuga?",Radiyo igiye kugira umunsi w'inzugi zuzuye.,0.31
"Muri Kanama 1923 , Baldwin yajyanye Chamberlain ku mwanya w' umuyobozi w' ikigo cy' ubutunzi .","Icyo gihe Chamberlain yari umushikiranganji w'imari , akaba yari ashinzwe ubukungu , mu gihe gito .",0.56
Umwana w'umuhungu asimbuka ava hejuru y'ikibumbano cy'umwenda w'ubururu.,Umurwanashyaka w'umunyamwete urimo asimbuka ava ku ntoki ajya ku wundi.,0.41
Kuki wagombye gushaka gukunda umuntu udashobora kwishyuza ibyo byiyumvo?,Si wowe wenyine wumva utyo.,0.41
Zac Efron ni we muntu w'ibyamamare kurusha abandi bose.,Kandi Zac Efron ni we musore w'ikirangirire kurusha abandi bose!!!!!OMG!!!!!,0.83
Mujye mumushimira ku buntu.,Nta cyo nshobora kugufasha.,0.34
yewe na bubbles ni uko,"Ni byo, ni byo bita gufungura televiziyo.",0.09
"Nkunda cyane abo mu cyumweru gishize bagiye mu gitaramo cyo mu mujyi wa Houston, muri leta ya TX.",Mu mpera z'icyumweru gishize nagiye kureba filimi ivuga iby'umuryango wa Madea.,0.28
"Cinder yabaye Cinderella, naho Ella wari umukene, nyina ntiyamubona.",Ni uburyo bwo gusobanura inkuru ya kera ivuga ibya Cinderella.,0.66
Umugabo n'umugore bakuze bambaye imyenda ku rubyiniro mu gihe cy'igitaramo.,Hari umusaza uhagaze imbere y'imbaga y'abantu kugira ngo akore ikintu gikomeye.,0.53
Miss USA De la Fuente yavuye mu irushanwa ry'amahirwe maze ahamagara @realDonaldTrump nk'umunyabwenge n'umusazi...,#ProgressiveCommand:Abakoze ibyaha bakeneye igihano gito n'amabohero meza kugira ngo babashe gukira!#tcot @ericbolling #Greta,0.12
Abakobwa beza ntibakundana abagabo ni ibintu bishimishije kurusha igitabo cya mbere mu itsinda (Abakobwa beza ntibagira imyenda).,Nashimishijwe cyane n'uko Jane Jameson yakundaga umuziki wa pop mu mashusho ya Nice Girls Don't Date Dead Men.,0.66
Umuporisi areba imodoka ikora iby'umuriro.,imodoka ikora iby'umuriro irwanya umuriro.,0.41
Ndi umusore ufite gahunda yoroheje.,indirimbo yawe y'igikundiro cyangwa Untitled by simple plan,0.16
Ndamukunda cyane kurusha Elena kuko Elena afite uburenganzira bwo kuvuga ibintu byose kandi ari umwana ukunda kurira.,Sinari kuyongera ku meza yanjye kuko sinzi neza.,0.03
"Misiri yiteguye indi myigaragambyo, isenga isaba gutuza","Misiri yiteguye kongera imyigaragambyo kubera Morsi, isenga isaba gutuza",0.84
"Jye ubwanjye, mbakunda bombi.",Ese yaba yaramubonanye na we ubwe?,0.28
"Ejo nijoro, mu by'ukuri, tugiye gutegura ibirori, niba ushaka kuza.","Mu by'ukuri, ejo nijoro tuzaba dufite ibirori.",0.9
"Ni koko, ndabihamya ku bushakashatsi nagize.","Ni iby'ukuri ko mu Ntambara ya Kabiri y'Isi Yose, ibisasu byabaga byaratwikiraga amajwi igihe byakorwaga.",0.56
Loki ni umwanditsi w'ibyishimo ariko urakaza.,"Bityo, nabonye ""Ivanjiri ya Loki"" kuri Netgalley, mbyishimiye cyane.",0.25
Abashakashatsi bavuga ko iyo kompanyi y'Abongereza yari ikinyuranyo cya CIA.,Abashakashatsi b'Abarusiya bavuze ko iyo kompanyi y'Abongereza yari ikiri ibanga rya CIA.,0.81
Bwana @realDonaldTrump ndashima ko mwafashe iya mbere mu gutora.,"@realDonaldTrump, naraguteze amatwi kuri @FoxNews. Uri mwiza cyane!",0.69
